City,Cost,Carrier,Plane seats,Flights,Boardings,Air Choice One,American,Boutique,Cape Air,Great Lakes,Sea Port,Silver,SkyWest,Adj boardings
AL Muscle Shoals ,1739308,SeaPort,9,4,2345,0,0,0,0,0,1,0,0,2345
AR El Dorado/Camden ,1977153,SeaPort,9,4,4091,0,0,0,0,0,1,0,0,4091
AR Harrison ,2251207,SeaPort,9,3,5123,0,0,0,0,0,1,0,0,5123
AR Hot Springs ,1637012,SeaPort,9,3,2904,0,0,0,0,0,1,0,0,2904
AR Jonesboro ,1942890,Air,9,3,5056,1,0,0,0,0,0,0,0,5056
AZ Page ,2472028,Great,19,3,26998,0,0,0,0,1,0,0,0,8000
AZ Prescott ,2657002,Great,30,2,5223,0,0,0,0,1,0,0,0,5223
AZ Show Low ,1243255,Boutique,9,2.5,3759,0,0,1,0,0,0,0,0,3759
CA Crescent City ,3506231,PenAir,30,2,13701,0,0,0,0,0,0,0,0,13701
CA El Centro ,2264008,SeaPort,9,4,2762,0,0,0,0,0,1,0,0,2762
CA Merced ,2991546,Boutique,9,5,2580,0,0,1,0,0,0,0,0,2580
CA Visalia ,1990563,SeaPort,9,4,3521,0,0,0,0,0,1,0,0,3521
CO Alamosa ,2192179,Great,19,3,6983,0,0,0,0,1,0,0,0,6983
CO Cortez ,2270297,Great,19,3,8218,0,0,0,0,1,0,0,0,8218
CO Pueblo** ,1776448,none,30,2,6785,0,0,0,0,0,0,0,0,6785
GA Macon*** ,1998696,none,34,2,1966,0,0,0,0,0,0,0,0,1966
HI Kalaupapa ,730848,Makani,9,5,5128,0,0,0,0,0,0,0,0,5128
HI Kamuela ,417310,Mokulele,9,2,5287,0,0,0,0,0,0,0,0,5287
IA Burlington ,1917566,Air,9,4,6692,1,0,0,0,0,0,0,0,6692
IA Fort Dodge ,3715953,Air,9,4,3083,1,0,0,0,0,0,0,0,3083
IA Mason City ,3715953,Air,9,4,3188,1,0,0,0,0,0,0,0,3188
IA Sioux City ,611434,American,50,2,31675,0,1,0,0,0,0,0,0,31675
IA Waterloo ,945546,American,50,2,23994,0,1,0,0,0,0,0,0,23994
IL Decatur ,2667922,Air,9,6,6827,1,0,0,0,0,0,0,0,6827
IL Marion/Herrin ,2104616,Cape,9,6,11241,0,0,0,1,0,0,0,0,11241
"IL Quincy/Hannibal, MO ",1956856,Cape,9,6,10679,0,0,0,1,0,0,0,0,10679
KS Dodge City ,2339131,Great,19,3,5789,0,0,0,0,1,0,0,0,5789
KS Garden City ,1445172,American,50,2,26428,0,1,0,0,0,0,0,0,26428
KS Great Bend ,1434472,SeaPort,9,2,942,0,0,0,0,0,1,0,0,942
KS Hays ,2253132,SkyWest,50,2,8726,0,0,0,0,0,0,0,1,8726
"KS Liberal/Guymon, OK ",2236180,Great,19,3,11101,0,0,0,0,1,0,0,0,11101
KS Salina ,1490479,SeaPort,9,3,2829,0,0,0,0,0,1,0,0,2829
KY Owensboro ,1529913,Cape,9,3,22202,0,0,0,1,0,0,0,0,6500
KY Paducah ,2034160,SkyWest,50,2,20858,0,0,0,0,0,0,0,1,20858
MD Hagerstown ,1785638,Sun,8,4,15189,0,0,0,0,0,0,0,0,5000
ME Augusta/Waterville ,1818106,Cape,9,3.5,5798,0,0,0,1,0,0,0,0,5798
ME Bar Harbor ,1631223,Cape,13.1666666667,3,10292,0,0,0,1,0,0,0,0,10292
ME Presque Isle/Houlton ,4710683,PenAir,33,3,12330,0,0,0,0,0,0,0,0,12330
ME Rockland ,1890918,Cape,9,5,15724,0,0,0,1,0,0,0,0,15724
MI Alpena ,2168995,SkyWest,50,2,15914,0,0,0,0,0,0,0,1,15914
MI Escanaba ,3507011,SkyWest,50,2,17946,0,0,0,0,0,0,0,1,17946
MI Hancock/Houghton ,690976,SkyWest,50,2,25312,0,0,0,0,0,0,0,1,25312
MI Iron Mountain/Kingsford ,2970122,SkyWest,50,2,12504,0,0,0,0,0,0,0,1,12504
